process,time,rss,used,available,percent,event
mp_households_1, 15/08/2022 22:21:34, 1.38, 1.02, 115.13, 6.9%, school_location.i1.simulate.gradeschool.interaction_sample_simulate.add.interaction_utilities
mp_households_1, 15/08/2022 22:21:34, 1.38, 1.02, 115.13, 6.9%, school_location.i1.simulate.gradeschool.interaction_sample_simulate.del.interaction_df
mp_households_1, 15/08/2022 22:21:34, 1.38, 1.02, 115.13, 6.9%, school_location.i1.simulate.gradeschool.interaction_sample_simulate.add.sample_counts
mp_households_1, 15/08/2022 22:21:34, 1.38, 1.02, 115.13, 6.9%, school_location.i1.simulate.gradeschool.interaction_sample_simulate.del.sample_counts
mp_households_1, 15/08/2022 22:21:34, 1.38, 1.02, 115.13, 6.9%, school_location.i1.simulate.gradeschool.interaction_sample_simulate.del.interaction_utilities
mp_households_1, 15/08/2022 22:21:34, 1.38, 1.02, 115.13, 6.9%, school_location.i1.simulate.gradeschool.interaction_sample_simulate.add.padded_utilities
mp_households_1, 15/08/2022 22:21:34, 1.38, 1.02, 115.13, 6.9%, school_location.i1.simulate.gradeschool.interaction_sample_simulate.add.utilities_df
mp_households_0, 15/08/2022 22:21:34, 1.23, 1.02, 115.13, 6.9%, school_location.i1.logsums.gradeschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.raw_utilities
mp_households_1, 15/08/2022 22:21:34, 1.38, 1.02, 115.13, 6.9%, school_location.i1.simulate.gradeschool.interaction_sample_simulate.del.padded_utilities
mp_households_1, 15/08/2022 22:21:34, 1.38, 1.02, 115.13, 6.9%, school_location.i1.simulate.gradeschool.interaction_sample_simulate.add.probs
mp_households_0, 15/08/2022 22:21:34, 1.23, 1.02, 115.13, 6.9%, school_location.i1.logsums.gradeschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.nested_exp_utilities
mp_households_1, 15/08/2022 22:21:34, 1.38, 1.02, 115.13, 6.9%, school_location.i1.simulate.gradeschool.interaction_sample_simulate.del.utilities_df
mp_households_1, 15/08/2022 22:21:34, 1.38, 1.02, 115.13, 6.9%, school_location.i1.simulate.gradeschool.interaction_sample_simulate.add.positions
mp_households_0, 15/08/2022 22:21:34, 1.23, 1.02, 115.13, 6.9%, school_location.i1.logsums.gradeschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.del.raw_utilities
mp_households_1, 15/08/2022 22:21:34, 1.38, 1.02, 115.13, 6.9%, school_location.i1.simulate.gradeschool.interaction_sample_simulate.add.rands
mp_households_0, 15/08/2022 22:21:34, 1.23, 1.02, 115.13, 6.9%, school_location.i1.logsums.gradeschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.logsums
mp_households_1, 15/08/2022 22:21:34, 1.38, 1.02, 115.13, 6.9%, school_location.i1.simulate.gradeschool.interaction_sample_simulate.del.probs
