label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53,value_54,value_55,value_56,value_57,value_58,value_59,value_60,value_61,value_62,value_63,value_64,value_65,value_66,value_67,value_68,value_69,value_70,value_71,value_72,value_73,value_74,value_75,value_76,value_77,value_78,value_79,value_80,value_81,value_82,value_83,value_84,value_85
tour_id,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863
out_period,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,EV,EV,EV
in_period,EA,EA,AM,AM,AM,AM,AM,MD,MD,MD,MD,MD,PM,PM,PM,PM,EV,EV,EV,AM,MD,PM,EV,AM,AM,AM,AM,AM,MD,MD,MD,MD,MD,PM,PM,PM,PM,EV,EV,EV,MD,PM,EV,MD,PM,EV,MD,PM,EV,MD,PM,EV,MD,MD,MD,MD,MD,PM,PM,PM,PM,EV,EV,EV,PM,EV,PM,EV,PM,EV,PM,EV,PM,PM,PM,PM,EV,EV,EV,EV,EV,EV,EV,EV,EV
duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,6,11,15,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,4,9,13,3,8,12,2,7,11,1,6,10,0,1,2,3,4,5,6,7,8,9,10,11,4,8,3,7,2,6,1,5,0,1,2,3,4,5,6,3,2,1,0,1,2
person_id,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752
tour_type,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school
tour_type_count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tour_type_num,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tour_num,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tour_count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tour_category,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory
number_of_participants,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
destination,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257
origin,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755
