Expression,9378161,9378165,9378489,9378490,9378493,9378494,9378495,9378496,52389129,52389130,52389133,67602753,67602757,67603081,67603085,92496969,92496970,92496973,150930825,150930826,150930829,150931153,150931157,151555665,151555666,151555669,151555670,190377089,190377093,292162705,292162709,292162713,292162717,292162718,479516961,479516965,479516969,479516973,561848569,561848573,611457585,611457589,611457913,611457917,611457918,632318713,632318717,632318721,632318725,632321993,632321997,808105393,808105397,808105398,839239809,839239813,892937017,892937021,934130865,934130869,934132833,934132834,934132837,934132838,934134801,934134802,934134805,934134806,1058651801,1058651805,1058656721,1058656725,1123311753,1123311757,1232449161,1232449165,1232449166,1232449489,1232449493,1232449494,1232449817,1232449821,1232449825,1232449829,1232449830,1232451457,1232451458,1232451461,1242372473,1242372477,1242372801,1242372802,1242372803,1242372805,1257031121,1257031125,1288409897,1288409901,1336609825,1336609829,1365570257,1365570261,1366676601,1366676605,1575875657,1575875658,1575875661,1575875662,1575875985,1575875989,1575875990,1703611977,1703611981,1703611982,1703611983,1724491145,1724491149,1742184777,1742184781,1895868849,1895868853,1895868854,1956347129,1956347133,1956347457,1956347461,2066798833,2066798837,2076746417,2076746421,2076746422,2095914081,2095914085,2101479913,2101479917,2102466209,2102466213,2102466537,2102466541,2172240665,2172240666,2172240669,2172240670,2198574473,2198574477
@df.c_cost * odt_skims['SOV_BTOLL'],-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
@c_age1619_da * ((df.age >= 16) & (df.age <= 19)),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sovtoll_available == False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auto_ownership == 0 # (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
age < 16 # (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_joint == True # (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_atwork_subtour & ~work_tour_is_SOV # (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@c_ivt*odt_skims['SOVTOLL_TIME'],-0.0016866667428985238,-0.0030066666658967733,-0.07270999997854233,-0.043266668915748596,-0.03993000090122223,-0.12518000602722168,-0.28739333152770996,-0.2987233102321625,-0.058373335748910904,-0.3783266544342041,-0.30176666378974915,-0.1580333411693573,-0.1426333338022232,-0.10303333401679993,-0.1114666610956192,-0.0427899993956089,-0.0735900029540062,-0.03446666896343231,-0.05786000192165375,-0.7240566611289978,-0.6561500430107117,-0.07795333117246628,-0.07722000032663345,-0.11190666258335114,-0.97298663854599,-0.0414699986577034,-0.9554966688156128,-0.043266668915748596,-0.04594333469867706,-0.051223333925008774,-0.050893332809209824,-0.051223333925008774,-0.017563333734869957,-0.058923330157995224,-0.021119998767971992,-0.020056666806340218,-0.02038666605949402,-0.020056666806340218,-0.3435666561126709,-0.2472066730260849,-0.07315000146627426,-0.07725667208433151,-0.09111667424440384,-0.08682666718959808,-0.16789665818214417,-0.49749332666397095,-0.49910664558410645,-0.5155333280563354,-0.509630024433136,-0.6203266382217407,-0.5359933376312256,-0.189016655087471,-0.1360333412885666,-0.07084000110626221,-0.2046000063419342,-0.18516667187213898,-0.020496666431427002,-0.10373000055551529,-0.015216666273772717,-0.01484999991953373,-0.031423330307006836,-0.02907666750252247,-0.03879333287477493,-0.05258000269532204,-0.03274333477020264,-0.013053332455456257,-0.029003335162997246,-0.03281666710972786,-0.2612133324146271,-0.23913998901844025,-0.1978166699409485,-0.18498334288597107,-0.052176665514707565,-0.05408333241939545,-0.9292433857917786,-0.6253133416175842,-0.19972331821918488,-0.1455666720867157,-0.13577666878700256,-0.021266665309667587,-0.1455666720867157,-0.14032334089279175,-0.1371700018644333,-0.0257399994879961,-0.1502966582775116,-0.164560005068779,-1.2394800186157227,-1.4095033407211304,-0.23708666861057281,-0.2450433373451233,-0.03816999867558479,-0.061746664345264435,-0.05848333239555359,-0.09126333892345428,-0.4959533214569092,-0.4221433401107788,-0.1467033326625824,-0.15366999804973602,-0.14919666945934296,-0.12888333201408386,-0.5743833184242249,-0.5426300168037415,-0.34796667098999023,-0.34683001041412354,-0.21138334274291992,-0.15128666162490845,-0.20727667212486267,-0.1298733353614807,-0.3313566744327545,-0.17387333512306213,-0.2160399854183197,-0.23547331988811493,-0.19594666361808777,-0.2381500005722046,-0.13031332194805145,-0.015546666458249092,-0.007626666687428951,-0.2047833353281021,-0.21431666612625122,-0.1018233373761177,-0.10431666672229767,-0.19085000455379486,-0.03068999946117401,-0.03068999946117401,-0.009239999577403069,-0.0074800001457333565,-0.23103667795658112,-0.21420666575431824,-0.11648999899625778,-0.06379999965429306,-0.07590000331401825,-0.10747000575065613,-0.1058933362364769,-0.14663000404834747,-0.14501667022705078,-0.13398000597953796,-0.1258399933576584,-0.18010665476322174,-0.1765499860048294,-0.11436332762241364,-0.055916666984558105,-0.09793666750192642,-0.15674999356269836,-0.6712200045585632,-0.7271366715431213
@c_walktimeshort * df.total_terminal_time # (2),-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
@df.c_cost * costPerMile * odt_skims['SOVTOLL_DIST'],-0.0006226191422717035,-0.0013196810261411503,-0.0187133862976099,-0.012802151606550542,-0.011220623713331827,-0.030536012785756027,-0.10171470809042012,-0.13162829202427978,-0.14702450351945626,-0.8772791962941285,-0.7310707590070702,-0.2317752841646921,-0.21462022836123984,-0.1568214794896117,-0.16882989888020355,-0.029854487190366503,-0.051863052251812855,-0.024583085682316583,-0.07500129959199112,-0.8973865378069713,-0.9675556759870806,-0.08579499371472472,-0.08609954697989461,-0.04073058461452394,-0.08296583357777082,-0.01043715879399956,-0.32651118631411385,-0.034149705134587434,-0.03613519020915767,-0.22016176340754903,-0.21721996159591733,-0.22016176340754903,-0.057004452125562974,-0.2554976679513687,-0.0920029625633715,-0.0920029625633715,-0.0920029625633715,-0.0920029625633715,-0.19827569205520182,-0.21453340336856938,-0.32630439576029835,-0.3694219028801111,-0.4042730247862685,-0.44075955938476685,-0.8379491050390041,-0.2699187564954429,-0.26810929348261586,-0.26572982330766526,-0.26824995883922376,-0.3071747381760809,-0.27461638187988585,-0.12814362971762633,-0.0867654228226961,-0.05073279708129122,-0.32628685613495534,-0.4090830920666095,-0.022180562701563752,-0.1177093588575178,-0.003279434774510711,-0.003279434774510711,-0.00746591140906581,-0.009090289708080092,-0.009566668956486243,-0.013757018677275242,-0.009320896068621222,-0.002806089114070158,-0.00541653934818914,-0.006738099839712768,-0.16444429490579404,-0.15828296678392273,-0.07301175915082192,-0.07797459285141199,-0.11774850225667798,-0.11938907099438763,-0.669905405094694,-0.47750378712539304,-0.16770530170209302,-0.12546137969361126,-0.1353002624225023,-0.01897118986620036,-0.12546137969361126,-0.1326776790604338,-0.13533581239725523,-0.022962167114612884,-0.1380050766954388,-0.1219313801911056,-1.1882476809477258,-1.3004971511116996,-0.47395362784290646,-0.4861260411639188,-0.049796912022061504,-0.12677446096005884,-0.10947725075446481,-0.16667190250589353,-1.684969666231499,-1.5992417333521802,-0.22696084423869262,-0.22521984402518336,-0.18188113743174203,-0.16888843291671365,-0.3319061539454716,-0.3282469269295938,-0.5540390530950021,-0.5524122070782932,-0.3050467477190908,-0.18830011210111627,-0.2773994331898985,-0.1727258458427791,-0.39821154438302625,-0.185374284109266,-0.21054414936229338,-0.12681861791326587,-0.12265948189021089,-0.1587493359057166,-0.09008787050858091,-0.08478984689282723,-0.039540429754604554,-0.11940341656542937,-0.1258292161800555,-0.07987448206028254,-0.11313952451720011,-0.18524153253589803,-0.3700172837090491,-0.3700172837090491,-0.0952597837872505,-0.07714981581437586,-0.49234513068307995,-0.4932606585333514,-0.19626001406143245,-0.08644038390820631,-0.12483226482161848,-1.2639872804203032,-1.2583334165439604,-0.3775946382674414,-0.3762314215048894,-0.5322045394138754,-0.5012999903610775,-0.6938052412326514,-0.679193431589882,-0.1709186833017304,-0.07888769776917272,-0.13556767272171663,-0.23432275359585664,-0.13186052033569334,-0.14471180173828121
c_cost * total_parking_cost # (2),-0.0,-0.25302677844028854,-0.001053966967125512,-0.001053966967125512,-0.11980467410868179,-0.010192858867065332,-0.009890711593523553,-0.10228900913286659,-0.03056436297231013,-0.03056436297231013,-0.18639923604281308,-0.0,-1.7883519808526411,-0.0,-2.872685982487516,-0.0019894021256759327,-0.0019894021256759327,-0.0,-0.018086230870487517,-0.018086230870487517,-0.27132921697033724,-0.0,-0.5457996431998478,-0.010613120403049821,-0.010613120403049821,-1.3936595940904397,-0.10223045717558307,-0.0,-0.1392011662389834,-0.0,-0.08154430082119501,-0.0,-0.0070546541615345,-0.0070546541615345,-0.0,-2.2344514366206254,-0.0,-2.2344514366206254,-0.0,-0.3414434603423007,-0.0,-0.12272599591129037,-0.0,-0.045962131262202,-0.011073120078941616,-0.0,-0.006180296217269715,-0.0,-0.02472118486907886,-0.0,-0.0,-0.0,-0.034403325058542135,-0.02278923865614338,-0.0,-0.0,-0.0,-0.3733291443739558,-0.0,-0.8585963866704649,-0.020455514452915532,-0.020455514452915532,-0.9845298327194916,-0.6542488719779201,-0.04267874823918064,-0.04267874823918064,-0.5237768706329486,-0.7289220866716126,-0.0,-0.0481429606365477,-0.0,-0.28021496005187796,-0.0,-10.435684968615817,-0.0,-0.28198548221228653,-0.20758088599100333,-0.0,-0.09463334081229739,-0.05540145282881193,-0.0,-0.010185966337141044,-0.0,-0.04766111847057038,-0.028045174478827654,-0.018214002410617356,-0.018214002410617356,-0.05060954482644705,-0.0,-0.15241201669655327,-0.011014227055481223,-0.014009020237003973,-0.0029947931815227486,-0.1534044823133371,-0.0,-0.22094571555806403,-0.0,-0.4395706105546538,-0.0,-0.13661912212590097,-0.0,-0.05996409069830791,-0.0,-0.13091820929323048,-0.0,-0.0,-0.20998694902951198,-0.03053964119086255,-0.0,-0.06585438006438833,-0.04132232964333168,-0.0,-0.0049210922320618985,-0.009051664860962955,-0.004130572628901055,-0.0,-0.0,-0.0,-0.0654481288629047,-0.0,-0.04386474809755881,-0.034436297519508184,-0.0,-0.8139272542544566,-0.0,-0.8983211782277213,-0.0,-0.04298190390905424,-0.0,-0.16624115771479755,-0.0013731199659153322,-0.0,-0.7908539243293564,-0.0,-0.0,-0.0,-0.1234283897541728,-0.0,-0.4730503525235348,-0.005712792867816307,-0.005712792867816307,-0.030125034981027247,-0.04187113464347771,-0.0,-0.008264784763621998
@df.c_cost * odt_skims['SOVTOLL_BTOLL'],-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
@df.c_cost * odt_skims['SOVTOLL_VTOLL'],-1.6403051163633282e-05,-2.9355780805875606e-05,-0.0007026376832399548,-0.0004190281769024428,-0.0003863859768287731,-0.0012087585629385487,-0.002792527864657456,-0.0029168869851563216,-0.0034164245274977325,-0.02210073231013989,-0.017645575492144273,-0.013213641845694946,-0.011928993051110873,-0.008618071476046945,-0.009323009842695554,-0.0006589613968876787,-0.0011335642094224053,-0.0005310780792831714,-0.001689893109951157,-0.02112454351511147,-0.019228357442020522,-0.002268349426590558,-0.0022476226634204235,-0.0009763723157122682,-0.008339825753413946,-0.0003592558296854111,-0.008324884110376535,-0.0007699783110636613,-0.0008175425114655095,-0.004901964723842398,-0.004869545259105293,-0.004901964723842398,-0.0016705924867108624,-0.005640072402126,-0.0036609274716293706,-0.0034791615351999388,-0.0035355716825124484,-0.0034791615351999388,-0.00770694374069455,-0.005584967011556773,-0.00828435329795951,-0.008763099449941091,-0.010317908042905527,-0.00986269732335396,-0.0190635879168971,-0.007225111582099588,-0.007247063128988275,-0.007479408144087185,-0.007396826089004719,-0.008992836024378646,-0.007775329922239456,-0.0028183964048342385,-0.0020253641582208205,-0.0010577746097001105,-0.014015329659743257,-0.01274680140323438,-0.0005207964280026915,-0.00263866460631445,-0.00012078383800931052,-0.00011791690776466532,-0.00024980800404765676,-0.00023235440116354056,-0.00030859036472285725,-0.0004186949432395378,-0.00026115069254220265,-0.00010360824383660775,-0.00022975744789569506,-0.00026030143957775717,-0.0038693032340395136,-0.0035465955989167275,-0.0029018414008745315,-0.002718927484968455,-0.003755460648095335,-0.00389122823609343,-0.018381439663818108,-0.012384085434186636,-0.003963810266043878,-0.0028907692284635745,-0.002706419484051926,-0.0004226825336464821,-0.0028907692284635745,-0.002793107419390567,-0.002733447255883596,-0.0005115918947140812,-0.00298936484301998,-0.003256991503396523,-0.02468057593169988,-0.028038136090270956,-0.010949216147564621,-0.011314617877050737,-0.0017481788472016805,-0.002853444302714127,-0.0026968017058416004,-0.004206067679715038,-0.03915386781476151,-0.03341771888773177,-0.009343578637095253,-0.00978039208267062,-0.004128200218534146,-0.0035726232743970732,-0.007770994059658134,-0.007349485120167149,-0.01201905149513101,-0.011979890780891797,-0.006206094682459368,-0.004425154377843528,-0.006073560839293794,-0.0038049134917701234,-0.009684395390595641,-0.005068720744821252,-0.006287056363590674,-0.003548006196356109,-0.002961870911577435,-0.003605130924423094,-0.001974466810339265,-0.0021643827555935633,-0.0010606409865073461,-0.002639300963791097,-0.0027626466202234027,-0.0026218481199525106,-0.0027032946403580953,-0.004933765861103835,-0.0075378205060958854,-0.0075378205060958854,-0.002260559213161468,-0.0018299956977367398,-0.012240974109497628,-0.011369532720837553,-0.0037798660582225034,-0.00205858777655733,-0.002461126499399215,-0.026378398132324215,-0.02599850707054138,-0.008488693784605313,-0.008396832217385696,-0.011341626310219172,-0.010653349652055014,-0.015234412156344131,-0.014933068419382032,-0.003595463748314387,-0.0017553831678652802,-0.003073077156996145,-0.004928087417364231,-0.0032806680908203122,-0.003554995697021484
@c_age1619_da * ((df.age >= 16) & (df.age <= 19)) # (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hov2_available == False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_joint & (number_of_participants > 2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
